"player","points","cells","env_number","gempresent","round","tot_points","gem","cell","x","y"
2,36,27,5,0,6,537,0,26,2,3
2,-50,19,5,0,6,537,0,18,2,2
2,32,26,5,0,6,537,0,25,1,3
2,45,26,5,0,6,537,0,25,1,3
2,16,42,5,0,6,537,0,41,1,5
2,-67,34,5,0,6,537,0,33,1,4
2,-36,51,5,0,6,537,0,50,2,6
2,-20,58,5,0,6,537,0,57,1,7
2,42,36,5,0,6,537,0,35,3,4
2,50,36,5,0,6,537,0,35,3,4
2,42,36,5,0,6,537,0,35,3,4
2,40,36,5,0,6,537,0,35,3,4
2,53,36,5,0,6,537,0,35,3,4
2,-60,16,4,1,7,5031,0,15,7,1
2,-8,26,4,1,7,5031,0,25,1,3
2,-55,44,4,1,7,5031,0,43,3,5
2,-34,27,4,1,7,5031,0,26,2,3
2,242,10,4,1,7,5031,1,9,1,1
2,253,10,4,1,7,5031,1,9,1,1
2,253,10,4,1,7,5031,1,9,1,1
2,235,10,4,1,7,5031,1,9,1,1
2,237,10,4,1,7,5031,1,9,1,1
2,251,10,4,1,7,5031,1,9,1,1
2,246,10,4,1,7,5031,1,9,1,1
2,247,10,4,1,7,5031,1,9,1,1
2,251,10,4,1,7,5031,1,9,1,1
2,251,10,4,1,7,5031,1,9,1,1
2,253,10,4,1,7,5031,1,9,1,1
2,250,10,4,1,7,5031,1,9,1,1
2,235,10,4,1,7,5031,1,9,1,1
2,253,10,4,1,7,5031,1,9,1,1
2,254,10,4,1,7,5031,1,9,1,1
2,245,10,4,1,7,5031,1,9,1,1
2,249,10,4,1,7,5031,1,9,1,1
2,245,10,4,1,7,5031,1,9,1,1
2,252,10,4,1,7,5031,1,9,1,1
2,237,10,4,1,7,5031,1,9,1,1
2,249,10,4,1,7,5031,1,9,1,1
2,-13,63,2,0,8,354,0,62,6,7
2,-41,42,2,0,8,354,0,41,1,5
2,3,18,2,0,8,354,0,17,1,2
2,1,10,2,0,8,354,0,9,1,1
2,34,30,2,0,8,354,0,29,5,3
2,30,38,2,0,8,354,0,37,5,4
2,36,38,2,0,8,354,0,37,5,4
2,20,38,2,0,8,354,0,37,5,4
2,15,38,2,0,8,354,0,37,5,4
2,25,37,2,0,8,354,0,36,4,4
2,7,37,2,0,8,354,0,36,4,4
