"player","points","cells","env_number","gempresent","round","tot_points","gem","trial","unique_rounds","round_id","cell","x","y","round_gem_found","performance_group_f","performance_group"
85,-50,4,1,0,12,85,0,19,1020,1020,3,3,0,NA,NA,NA
85,-37,26,1,0,12,85,0,20,1020,1020,25,1,3,NA,NA,NA
85,-30,35,1,0,12,85,0,21,1020,1020,34,2,4,NA,NA,NA
85,43,22,1,0,12,85,0,22,1020,1020,21,5,2,NA,NA,NA
85,40,23,1,0,12,85,0,23,1020,1020,22,6,2,NA,NA,NA
85,-38,24,1,0,12,85,0,24,1020,1020,23,7,2,NA,NA,NA
85,-36,40,1,0,12,85,0,25,1020,1020,39,7,4,NA,NA,NA
86,-4,31,4,0,1,-341,0,1,1021,1021,30,6,3,NA,NA,NA
86,25,38,4,0,1,-341,0,2,1021,1021,37,5,4,NA,NA,NA
86,-41,36,4,0,1,-341,0,3,1021,1021,35,3,4,NA,NA,NA
86,-41,36,4,0,1,-341,0,4,1021,1021,35,3,4,NA,NA,NA
86,-35,36,4,0,1,-341,0,5,1021,1021,35,3,4,NA,NA,NA
86,-34,36,4,0,1,-341,0,6,1021,1021,35,3,4,NA,NA,NA
86,-36,36,4,0,1,-341,0,7,1021,1021,35,3,4,NA,NA,NA
86,-37,28,4,0,1,-341,0,8,1021,1021,27,3,3,NA,NA,NA
86,-35,28,4,0,1,-341,0,9,1021,1021,27,3,3,NA,NA,NA
86,-37,28,4,0,1,-341,0,10,1021,1021,27,3,3,NA,NA,NA
86,-35,28,4,0,1,-341,0,11,1021,1021,27,3,3,NA,NA,NA
86,48,38,4,0,1,-341,0,12,1021,1021,37,5,4,NA,NA,NA
86,-45,36,4,0,1,-341,0,13,1021,1021,35,3,4,NA,NA,NA
86,-26,36,4,0,1,-341,0,14,1021,1021,35,3,4,NA,NA,NA
86,-23,37,4,0,1,-341,0,15,1021,1021,36,4,4,NA,NA,NA
86,19,45,4,0,1,-341,0,16,1021,1021,44,4,5,NA,NA,NA
86,-14,45,4,0,1,-341,0,17,1021,1021,44,4,5,NA,NA,NA
86,5,45,4,0,1,-341,0,18,1021,1021,44,4,5,NA,NA,NA
86,-12,45,4,0,1,-341,0,19,1021,1021,44,4,5,NA,NA,NA
86,6,45,4,0,1,-341,0,20,1021,1021,44,4,5,NA,NA,NA
86,12,45,4,0,1,-341,0,21,1021,1021,44,4,5,NA,NA,NA
86,-3,45,4,0,1,-341,0,22,1021,1021,44,4,5,NA,NA,NA
86,26,45,4,0,1,-341,0,23,1021,1021,44,4,5,NA,NA,NA
86,37,30,4,0,1,-341,0,24,1021,1021,29,5,3,NA,NA,NA
86,-61,46,4,0,1,-341,0,25,1021,1021,45,5,5,NA,NA,NA
86,256,39,2,1,2,139,1,1,1022,1022,38,6,4,1,"low",1
86,50,47,2,1,2,139,0,2,1022,1022,46,6,5,1,"low",1
86,-19,55,2,1,2,139,0,3,1022,1022,54,6,6,1,"low",1
86,-33,55,2,1,2,139,0,4,1022,1022,54,6,6,1,"low",1
86,-54,55,2,1,2,139,0,5,1022,1022,54,6,6,1,"low",1
86,-12,55,2,1,2,139,0,6,1022,1022,54,6,6,1,"low",1
86,-24,55,2,1,2,139,0,7,1022,1022,54,6,6,1,"low",1
86,-28,55,2,1,2,139,0,8,1022,1022,54,6,6,1,"low",1
86,-24,55,2,1,2,139,0,9,1022,1022,54,6,6,1,"low",1
86,-42,55,2,1,2,139,0,10,1022,1022,54,6,6,1,"low",1
86,-22,55,2,1,2,139,0,11,1022,1022,54,6,6,1,"low",1
86,-13,55,2,1,2,139,0,12,1022,1022,54,6,6,1,"low",1
86,39,48,2,1,2,139,0,13,1022,1022,47,7,5,1,"low",1
86,36,48,2,1,2,139,0,14,1022,1022,47,7,5,1,"low",1
86,31,40,2,1,2,139,0,15,1022,1022,39,7,4,1,"low",1
86,57,32,2,1,2,139,0,16,1022,1022,31,7,3,1,"low",1
86,33,40,2,1,2,139,0,17,1022,1022,39,7,4,1,"low",1
86,-26,56,2,1,2,139,0,18,1022,1022,55,7,6,1,"low",1
86,-22,56,2,1,2,139,0,19,1022,1022,55,7,6,1,"low",1
86,-29,56,2,1,2,139,0,20,1022,1022,55,7,6,1,"low",1
86,-10,56,2,1,2,139,0,21,1022,1022,55,7,6,1,"low",1
86,37,24,2,1,2,139,0,22,1022,1022,23,7,2,1,"low",1
86,37,24,2,1,2,139,0,23,1022,1022,23,7,2,1,"low",1
86,-42,31,2,1,2,139,0,24,1022,1022,30,6,3,1,"low",1
86,-37,31,2,1,2,139,0,25,1022,1022,30,6,3,1,"low",1
86,-4,40,4,0,3,-421,0,1,1023,1023,39,7,4,NA,NA,NA
86,65,30,4,0,3,-421,0,2,1023,1023,29,5,3,NA,NA,NA
86,38,38,4,0,3,-421,0,3,1023,1023,37,5,4,NA,NA,NA
86,32,20,4,0,3,-421,0,4,1023,1023,19,3,2,NA,NA,NA
86,-6,51,4,0,3,-421,0,5,1023,1023,50,2,6,NA,NA,NA
86,-6,51,4,0,3,-421,0,6,1023,1023,50,2,6,NA,NA,NA
86,-29,55,4,0,3,-421,0,7,1023,1023,54,6,6,NA,NA,NA
86,-30,55,4,0,3,-421,0,8,1023,1023,54,6,6,NA,NA,NA
86,-29,55,4,0,3,-421,0,9,1023,1023,54,6,6,NA,NA,NA
86,-50,55,4,0,3,-421,0,10,1023,1023,54,6,6,NA,NA,NA
86,-45,55,4,0,3,-421,0,11,1023,1023,54,6,6,NA,NA,NA
86,-27,55,4,0,3,-421,0,12,1023,1023,54,6,6,NA,NA,NA
86,-45,55,4,0,3,-421,0,13,1023,1023,54,6,6,NA,NA,NA
86,-33,55,4,0,3,-421,0,14,1023,1023,54,6,6,NA,NA,NA
86,-38,55,4,0,3,-421,0,15,1023,1023,54,6,6,NA,NA,NA
86,-24,55,4,0,3,-421,0,16,1023,1023,54,6,6,NA,NA,NA
86,-42,61,4,0,3,-421,0,17,1023,1023,60,4,7,NA,NA,NA
86,-40,61,4,0,3,-421,0,18,1023,1023,60,4,7,NA,NA,NA
86,-29,61,4,0,3,-421,0,19,1023,1023,60,4,7,NA,NA,NA
86,-13,61,4,0,3,-421,0,20,1023,1023,60,4,7,NA,NA,NA
86,13,15,4,0,3,-421,0,21,1023,1023,14,6,1,NA,NA,NA
86,-8,27,4,0,3,-421,0,22,1023,1023,26,2,3,NA,NA,NA
86,-28,27,4,0,3,-421,0,23,1023,1023,26,2,3,NA,NA,NA
86,-22,27,4,0,3,-421,0,24,1023,1023,26,2,3,NA,NA,NA
86,-21,27,4,0,3,-421,0,25,1023,1023,26,2,3,NA,NA,NA
86,53,40,3,1,4,-668,0,1,1024,1024,39,7,4,NA,NA,NA
86,-33,36,3,1,4,-668,0,2,1024,1024,35,3,4,NA,NA,NA
86,-30,36,3,1,4,-668,0,3,1024,1024,35,3,4,NA,NA,NA
86,-38,36,3,1,4,-668,0,4,1024,1024,35,3,4,NA,NA,NA
86,-30,36,3,1,4,-668,0,5,1024,1024,35,3,4,NA,NA,NA
86,-31,36,3,1,4,-668,0,6,1024,1024,35,3,4,NA,NA,NA
86,-27,36,3,1,4,-668,0,7,1024,1024,35,3,4,NA,NA,NA
86,-32,36,3,1,4,-668,0,8,1024,1024,35,3,4,NA,NA,NA
86,-40,36,3,1,4,-668,0,9,1024,1024,35,3,4,NA,NA,NA
86,-32,36,3,1,4,-668,0,10,1024,1024,35,3,4,NA,NA,NA
86,52,23,3,1,4,-668,0,11,1024,1024,22,6,2,NA,NA,NA
86,24,47,3,1,4,-668,0,12,1024,1024,46,6,5,NA,NA,NA
86,30,16,3,1,4,-668,0,13,1024,1024,15,7,1,NA,NA,NA
86,42,24,3,1,4,-668,0,14,1024,1024,23,7,2,NA,NA,NA
86,-54,32,3,1,4,-668,0,15,1024,1024,31,7,3,NA,NA,NA
86,-54,32,3,1,4,-668,0,16,1024,1024,31,7,3,NA,NA,NA
86,-61,32,3,1,4,-668,0,17,1024,1024,31,7,3,NA,NA,NA
86,-44,32,3,1,4,-668,0,18,1024,1024,31,7,3,NA,NA,NA
86,-62,32,3,1,4,-668,0,19,1024,1024,31,7,3,NA,NA,NA
86,-59,32,3,1,4,-668,0,20,1024,1024,31,7,3,NA,NA,NA
86,-36,32,3,1,4,-668,0,21,1024,1024,31,7,3,NA,NA,NA
86,-51,32,3,1,4,-668,0,22,1024,1024,31,7,3,NA,NA,NA
86,-52,32,3,1,4,-668,0,23,1024,1024,31,7,3,NA,NA,NA
86,-64,32,3,1,4,-668,0,24,1024,1024,31,7,3,NA,NA,NA
86,-39,32,3,1,4,-668,0,25,1024,1024,31,7,3,NA,NA,NA
86,59,32,2,1,5,496,0,1,1025,1025,31,7,3,7,"medium",2
86,-42,31,2,1,5,496,0,2,1025,1025,30,6,3,7,"medium",2
86,-28,31,2,1,5,496,0,3,1025,1025,30,6,3,7,"medium",2
86,27,40,2,1,5,496,0,4,1025,1025,39,7,4,7,"medium",2
86,36,48,2,1,5,496,0,5,1025,1025,47,7,5,7,"medium",2
86,60,47,2,1,5,496,0,6,1025,1025,46,6,5,7,"medium",2
86,253,39,2,1,5,496,1,7,1025,1025,38,6,4,7,"medium",2
86,52,48,2,1,5,496,0,8,1025,1025,47,7,5,7,"medium",2
86,43,40,2,1,5,496,0,9,1025,1025,39,7,4,7,"medium",2
86,0,46,2,1,5,496,0,10,1025,1025,45,5,5,7,"medium",2
86,1,46,2,1,5,496,0,11,1025,1025,45,5,5,7,"medium",2
86,-42,46,2,1,5,496,0,12,1025,1025,45,5,5,7,"medium",2
86,-35,46,2,1,5,496,0,13,1025,1025,45,5,5,7,"medium",2
86,-1,46,2,1,5,496,0,14,1025,1025,45,5,5,7,"medium",2
86,52,38,2,1,5,496,0,15,1025,1025,37,5,4,7,"medium",2
86,-29,56,2,1,5,496,0,16,1025,1025,55,7,6,7,"medium",2
86,-33,56,2,1,5,496,0,17,1025,1025,55,7,6,7,"medium",2
86,-16,55,2,1,5,496,0,18,1025,1025,54,6,6,7,"medium",2
86,35,24,2,1,5,496,0,19,1025,1025,23,7,2,7,"medium",2
86,34,24,2,1,5,496,0,20,1025,1025,23,7,2,7,"medium",2
86,61,23,2,1,5,496,0,21,1025,1025,22,6,2,7,"medium",2
86,-21,22,2,1,5,496,0,22,1025,1025,21,5,2,7,"medium",2
86,-8,22,2,1,5,496,0,23,1025,1025,21,5,2,7,"medium",2
86,-3,30,2,1,5,496,0,24,1025,1025,29,5,3,7,"medium",2
